"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sat Jun 21 20:03:47 GMT 2025","passed","Sat Jun 21 20:03:47 GMT 2025","Get entity","Users","",""
"","17","Delete exercise","LMS service","Sat Jun 21 20:03:41 GMT 2025","passed","Sat Jun 21 20:03:41 GMT 2025","Delete entity","Exercises","",""
"","21","Get exercise","LMS service","Sat Jun 21 20:03:41 GMT 2025","passed","Sat Jun 21 20:03:41 GMT 2025","Get entity","Exercises","",""
"","20","Update exercise","LMS service","Sat Jun 21 20:03:40 GMT 2025","passed","Sat Jun 21 20:03:40 GMT 2025","Update entity","Exercises","",""
"","19","Get exercises","LMS service","Sat Jun 21 20:03:42 GMT 2025","passed","Sat Jun 21 20:03:42 GMT 2025","Get entities","Exercises","",""
"","14","Get file","LMS service","Sat Jun 21 20:03:43 GMT 2025","passed","Sat Jun 21 20:03:43 GMT 2025","Get entity","Files","",""
"","31","Update course","LMS service","Sat Jun 21 20:03:38 GMT 2025","passed","Sat Jun 21 20:03:38 GMT 2025","Update entity","Courses","",""
"","26","Create course","LMS service","Sat Jun 21 20:03:39 GMT 2025","passed","Sat Jun 21 20:03:39 GMT 2025","Create entity","Courses","",""
"","292","Delete file","LMS service","Sat Jun 21 20:03:45 GMT 2025","passed","Sat Jun 21 20:03:45 GMT 2025","Delete entity","Files","",""
"","554","Login with correct email and password","LMS service","Sat Jun 21 20:03:37 GMT 2025","passed","Sat Jun 21 20:03:37 GMT 2025","Login","Authentication","",""
"","19","Create file","LMS service","Sat Jun 21 20:03:42 GMT 2025","passed","Sat Jun 21 20:03:42 GMT 2025","Create entity","Files","",""
"","16","Get courses","LMS service","Sat Jun 21 20:03:39 GMT 2025","passed","Sat Jun 21 20:03:39 GMT 2025","Get entities","Courses","",""
"","561","Create user","LMS service","Sat Jun 21 20:03:45 GMT 2025","passed","Sat Jun 21 20:03:46 GMT 2025","Create entity","Users","",""
"","25","Create exercise","LMS service","Sat Jun 21 20:03:40 GMT 2025","passed","Sat Jun 21 20:03:40 GMT 2025","Create entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Sat Jun 21 20:03:44 GMT 2025","passed","Sat Jun 21 20:03:45 GMT 2025","Validate entity","Files","",""
"","260","Get file with incorrect file id","LMS service","Sat Jun 21 20:03:45 GMT 2025","passed","Sat Jun 21 20:03:45 GMT 2025","Validate entity","Files","",""
"","257","Create file with empty filename","LMS service","Sat Jun 21 20:03:43 GMT 2025","passed","Sat Jun 21 20:03:43 GMT 2025","Validate entity","Files","",""
"","560","Create user","LMS service","Sat Jun 21 20:03:45 GMT 2025","passed","Sat Jun 21 20:03:45 GMT 2025","Create entity","Users","",""
"","289","Create user","LMS service","Sat Jun 21 20:03:45 GMT 2025","passed","Sat Jun 21 20:03:46 GMT 2025","Create entity","Users","",""
